Genotype ID,Beta carotene,Root flesh color score in a scale of 1-9 (yellow - orange) 
CAS01,0.47,3
CAS02,0.45,3
CAS03,0.55,4
CAS04,0.35,3
CAS05,0.04,1
CAS06,0.38,2
CAS07,0.76,4
CAS08,0.31,4
CAS09,0.23,3
CAS10,0.47,3
CAS11,0.4,3
CAS12,0.37,4
CAS13,0.37,3
CAS14,0.64,5
CAS15,0.53,6
CAS16,0.6,4
CAS18,0.32,3
CAS19,0.47,3
CAS20,0.45,3
CAS21,0.47,3
CAS22,0.62,3
CAS23,0.64,5
CAS24,0.55,4
CAS25,0.31,4
CAS26,1.03,5
CAS27,0.68,5
CAS28,1.02,5
CAS29,0.47,3
CAS30,0.55,4
CAS31,0.32,2
CAS32,0.61,2
CAS33,0.67,4
CAS34,0.47,3
CAS35,0.74,4
CAS36,0.54,6
CAS37,0.42,4
CAS38,0.78,5
CAS39,0.72,4
CAS40,0.47,5
CAS41,0.25,2
CAS42,0.36,4
CAS43,0.91,2
CAS44,0.96,5
CAS45,0.47,3
CAS46,0.61,5
CAS47,0.38,2
CAS48,0.29,4
CAS49,0.78,4
CAS50,0.13,1
CAS51,0.55,4
CAS52,0.38,2
CAS53,0.87,4
CAS54,0.64,5
CAS55,0.38,2
CAS56,0.55,4
CAS57,0.9,3
CAS58,0.34,3
CAS59,0.64,5
CAS60,0.26,3
CAS61,0.74,3
CAS62,0.29,4
CAS63,0.38,2
CAS64,0.36,2
CAS65,0.46,3
CAS66,0.47,3
CAS67,0.46,4
CAS68,0.29,3
CAS69,0.49,3
CAS70,0.55,4
CAS71,0.38,2
CAS72,0.55,4
CAS73,0.47,3
CAS74,0.45,3
CAS75,0.64,5
CAS76,0.55,4
CAS77,0.38,2
CAS78,0.39,2
CAS79,0.64,5
CAS80,0.55,4
CAS81,0.38,2
CAS82,0.55,4
CAS83,0.58,4
CAS84,0.45,4
CAS85,0.65,4
CAS86,0.72,6
CAS87,0.59,4
CAS88,0.55,4
CAS89,0.38,2
CAS90,0.64,5
CAS91,0.67,5
CAS92,0.53,4
CAS93,0.62,4
CAS94,0.51,4
