Genotype ID,Beta carotene (mg/100g),µg/g (ppm),Root flesh color score in a scale of 1-9 (yellow - orange) ,,,,,,
CAS01,0.47,4.7,3,,,,,,
CAS02,0.45,4.5,3,,,,,,
CAS03,0.55,5.5,4,,,,,,
CAS04,0.35,3.5,3,,,,,,
CAS05,0.04,0.4,1,,,,,,
CAS06,0.38,3.8,2,,,,,,
CAS07,0.76,7.6,4,,,,,,
CAS08,0.31,3.1,4,,,,,,
CAS09,0.23,2.3,3,,,,,,
CAS10,0.47,4.7,3,,,,,,
CAS11,0.4,4,3,,,,,,
CAS12,0.37,3.7,4,,,,,,
CAS13,0.37,3.7,3,,,,,,
CAS14,0.64,6.4,5,,,,,,
CAS15,0.53,5.3,6,,,,,,
CAS16,0.6,6,4,,,,,,
CAS18,0.32,3.2,3,,,,,,
CAS19,0.47,4.7,3,,,,,,
CAS20,0.45,4.5,3,,,,,,
CAS21,0.47,4.7,3,,,,,,
CAS22,0.62,6.2,3,,,,,,
CAS23,0.64,6.4,5,,,,,,
CAS24,0.55,5.5,4,,,,,,
CAS25,0.31,3.1,4,,,,,,
CAS26,1.03,10.3,5,,,,,,
CAS27,0.68,6.8,5,,,,,,
CAS28,1.02,10.2,5,,,,,,
CAS29,0.47,4.7,3,,,,,,
CAS30,0.55,5.5,4,,,,,,
CAS31,0.32,3.2,2,,,,,,
CAS32,0.61,6.1,2,,,,,,
CAS33,0.67,6.7,4,,,,,,
CAS34,0.47,4.7,3,,,,,,
CAS35,0.74,7.4,4,,,,,,
CAS36,0.54,5.4,6,,,,,,
CAS37,0.42,4.2,4,,,,,,
CAS38,0.78,7.8,5,,,,,,
CAS39,0.72,7.2,4,,,,,,
CAS40,0.47,4.7,5,,,,,,
CAS41,0.25,2.5,2,,,,,,
CAS42,0.36,3.6,4,,,,,,
CAS43,0.91,9.1,2,,,,,,
CAS44,0.96,9.6,5,,,,,,
CAS45,0.47,4.7,3,,,,,,
CAS46,0.61,6.1,5,,,,,,
CAS47,0.38,3.8,2,,,,,,
CAS48,0.29,2.9,4,,,,,,
CAS49,0.78,7.8,4,,,,,,
CAS50,0.13,1.3,1,,,,,,
CAS51,0.55,5.5,4,,,,,,
CAS52,0.38,3.8,2,,,,,,
CAS53,0.87,8.7,4,,,,,,
CAS54,0.64,6.4,5,,,,,,
CAS55,0.38,3.8,2,,,,,,
CAS56,0.55,5.5,4,,,,,,
CAS57,0.9,9,3,,,,,,
CAS58,0.34,3.4,3,,,,,,
CAS59,0.64,6.4,5,,,,,,
CAS60,0.26,2.6,3,,,,,,
CAS61,0.74,7.4,3,,,,,,
CAS62,0.29,2.9,4,,,,,,
CAS63,0.38,3.8,2,,,,,,
CAS64,0.36,3.6,2,,,,,,
CAS65,0.46,4.6,3,,,,,,
CAS66,0.47,4.7,3,,,,,,
CAS67,0.46,4.6,4,,,,,,
CAS68,0.29,2.9,3,,,,,,
CAS69,0.49,4.9,3,,,,,,
CAS70,0.55,5.5,4,,,,,,
CAS71,0.38,3.8,2,,,,,,
CAS72,0.55,5.5,4,,,,,,
CAS73,0.47,4.7,3,,,,,,
CAS74,0.45,4.5,3,,,,,,
CAS75,0.64,6.4,5,,,,,,
CAS76,0.55,5.5,4,,,,,,
CAS77,0.38,3.8,2,,,,,,
CAS78,0.39,3.9,2,,,,,,
CAS79,0.64,6.4,5,,,,,,
CAS80,0.55,5.5,4,,,,,,
CAS81,0.38,3.8,2,,,,,,
CAS82,0.55,5.5,4,,,,,,
CAS83,0.58,5.8,4,,,,,,
CAS84,0.45,4.5,4,,,,,,
CAS85,0.65,6.5,4,,,,,,
CAS86,0.72,7.2,6,,,,,,
CAS87,0.59,5.9,4,,,,,,
CAS88,0.55,5.5,4,,,,,,
CAS89,0.38,3.8,2,,,,,,
CAS90,0.64,6.4,5,,,,,,
CAS91,0.67,6.7,5,,,,,,
CAS92,0.53,5.3,4,,,,,,
CAS93,0.62,6.2,4,,,,,,
CAS94,0.51,5.1,4,,,,,,
,,,,,,,,,
,,,,,,,,,0.688172043
